음식,칼로리,지방,포화지방,단일불포화지방,다중불포화지방,탄수화물,당류,단백질,식이섬유,콜레스테롤,나트륨,수분
barbecue sauce kraft,28,0.053,0.013,0.095,0.005,6.5,5.2,0.1,0.032,0.0,0.2,8.7
cranberry sauce sweetened,418,0.4,0.056,0.057,0.2,107.8,105.0,0.6,2.8,0.0,0.076,168.0
coleslaw dressing,62,5.3,0.8,1.4,2.9,3.8,3.2,0.1,0.024,4.2,0.1,6.4
onion gravy dry,77,0.7,0.4,0.2,0.024,16.2,0.0,2.2,1.4,0.5,1.0,1.0
corn syrup light,62,0.09,0.0,0.0,0.0,16.9,16.9,0.0,0.0,0.0,0.065,5.0
bacon tomato dressing,49,5.3,0.8,1.3,2.9,0.3,0.3,0.3,0.04,0.6,0.1,8.8
pancake syrup,53,0.075,0.025,0.094,0.042,13.9,8.4,0.0,0.0,0.0,0.064,6.0
balsamic vinegar,14,0.0,0.0,0.0,0.0,2.7,2.4,0.041,0.0,0.0,0.071,12.2
ranch dressing reduced fat,29,1.9,0.2,0.4,0.6,3.2,0.6,0.2,0.2,2.4,0.2,9.3
barbecue sauce mcdonalds,46,0.3,0.09,0.069,0.1,10.3,9.6,0.4,0.4,0.0,0.3,16.2
vinegar oil dressing,72,8.0,1.5,2.4,3.9,0.4,0.4,0.0,0.0,0.0,0.076,7.6
poppyseed dressing,66,5.5,1.0,1.4,2.9,4.0,3.9,0.2,0.03,2.5,0.1,6.4
honey mustard dressing,70,6.1,0.8,1.7,3.4,3.5,2.4,0.1,0.057,4.4,0.019,4.9
french dressing fat free,21,0.024,0.067,0.088,0.097,5.1,2.6,0.01,0.4,0.0,0.1,10.4
vinegar,3,0.0,0.0,0.0,0.0,0.089,0.063,0.0,0.0,0.0,0.024,14.1
spray dressing,13,0.9,0.1,0.0,0.0,1.3,1.1,0.07,0.075,0.0,0.012,5.7
honey mustard dressing fat free,25,0.2,0.031,0.1,0.056,5.8,2.7,0.2,0.2,0.2,0.2,8.4
mushroom gravy,119,6.4,1.0,2.8,2.4,13.0,0.0,3.0,1.0,0.0,1.4,211.8
white sauce,368,26.6,7.1,11.1,7.2,22.9,11.0,9.6,0.5,17.5,0.9,187.2
marinara pasta sauce,129,3.9,0.4,1.0,1.3,19.9,14.5,3.7,4.8,5.3,1.1,230.7
tomato sauce with mushrooms,86,0.3,0.027,0.025,0.1,20.7,14.1,3.6,3.7,0.0,1.1,215.5
pork gravy powder,25,0.6,0.3,0.3,0.007,4.3,1.7,0.6,0.2,0.7,0.4,0.3
beef gravy,123,5.5,2.7,2.2,0.2,11.2,0.5,8.7,0.9,7.0,1.5,203.8
green goddess dressing,64,6.5,0.9,1.4,3.5,1.1,1.0,0.3,0.094,6.0,0.1,6.8
salsa con queso,358,23.8,6.2,6.9,9.1,27.9,4.9,7.9,1.8,22.5,2.0,184.3
cocktail sauce,19,0.2,0.0,0.0,0.0,4.2,1.8,0.2,0.3,0.0,0.2,9.9
worcestershire sauce,13,0.0,0.0,0.0,0.0,3.3,1.7,0.0,0.0,0.0,0.2,13.4
barbecue sauce,29,0.1,0.009,0.047,0.064,6.9,5.7,0.1,0.2,0.0,0.2,9.3
tomato sauce with onions,103,0.5,0.007,0.047,0.2,24.4,0.0,3.8,4.4,0.0,1.3,210.9
brown gravy dry,22,0.6,0.2,0.3,0.061,3.6,0.0,0.6,0.1,0.2,0.3,0.3
blue cheese dressing light,14,0.4,0.1,0.2,0.1,2.1,0.6,0.3,0.0,1.6,0.2,12.4
spanish tomato sauce,81,0.7,0.007,0.016,0.3,17.7,0.0,3.5,3.4,0.0,1.2,217.4
oyster sauce,9,0.066,0.016,0.02,0.044,2.0,0.0,0.2,0.024,0.0,0.5,14.4
cheese sauce,30,2.2,1.2,0.7,0.2,0.8,0.033,1.5,0.071,5.7,0.002,10.0
hoisin sauce,35,0.5,0.036,0.2,0.3,7.1,4.4,0.5,0.4,0.5,0.3,7.1
pickle relish,20,0.061,0.093,0.083,0.036,5.3,4.4,0.097,0.2,0.0,0.1,9.3
tomato sauce with herbs cheese,144,4.7,1.5,0.9,2.0,25.0,0.0,5.2,5.4,7.3,1.3,203.6
french dressing,73,7.2,0.9,1.3,3.4,2.5,2.6,0.1,0.0,0.0,0.1,5.8
mayonnaise hellmanns,15,1.7,0.9,0.093,0.2,0.087,0.2,0.0,0.0,0.0,0.0,0.0
canadian maple syrup,76,0.0,0.0,0.0,0.0,19.1,17.0,0.0,0.0,0.0,0.086,9.1
maple syrup,52,0.047,0.036,0.014,0.085,13.4,13.6,0.09,0.0,0.0,0.059,6.5
barbecue sauce bulls eye,27,0.1,0.028,0.019,0.033,6.4,5.6,0.1,0.2,0.0,0.2,8.8
ranch dressing,65,6.7,1.0,1.4,3.9,0.9,0.7,0.2,0.0,3.9,0.1,6.9
tomato ketchup mp,15,0.0,4.0,4.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0
mayonnaise light,36,3.3,0.5,0.8,1.9,1.4,0.5,0.032,0.0,2.4,0.1,9.9
mayonnaise dressing,103,11.7,1.6,2.7,6.8,0.066,0.093,0.0,0.0,0.0,0.081,3.3
malt syrup,67,0.0,0.0,0.0,0.0,15.0,15.0,1.3,0.0,0.0,0.05,4.4
gravy dry,86,2.0,0.7,0.8,0.4,14.5,0.0,3.3,0.0,1.0,1.4,1.0
cranberry orange relish,490,0.3,0.06,0.0,0.0,127.1,0.0,0.8,0.0,0.0,0.063,146.3
caesar dressing,80,8.5,1.3,2.0,4.8,0.5,0.4,0.3,0.036,5.7,0.2,5.0
italian dressing,35,3.1,0.4,0.8,1.6,1.8,1.6,0.032,0.0,0.0,0.1,9.3
brown gravy instant,25,0.8,0.4,0.4,0.049,4.0,0.6,0.6,0.2,0.8,0.3,0.4
roquefort cheese dressing,15,1.1,0.4,0.3,0.4,0.4,0.4,0.8,0.0,0.2,0.1,11.9
blue cheese dressing,71,7.7,1.2,2.0,4.1,0.7,0.5,0.2,0.045,4.7,0.2,6.0
duck sauce,80,0.063,0.033,0.065,0.04,19.7,9.9,0.1,0.2,0.0,0.1,12.2
au jus,38,0.5,0.2,0.2,0.048,5.9,0.0,2.8,0.0,0.0,1.1,223.0
corn syrup dark,57,0.0,0.0,0.0,0.0,15.5,15.5,0.0,0.0,0.0,0.047,4.4
buttermilk dressing light,30,1.9,0.2,0.4,0.6,3.2,0.6,0.2,0.2,2.4,0.2,9.3
cider vinegar,3,0.0,0.0,0.0,0.0,0.1,0.018,0.0,0.0,0.0,0.011,14.0
tartar sauce,32,2.5,0.5,0.5,1.4,2.0,0.6,0.2,0.078,1.1,0.1,10.1
pepper hot sauce,1,0.018,0.057,0.031,0.06,0.031,0.065,0.024,0.071,0.0,0.1,4.2
tomato chili sauce,6,0.095,0.076,0.097,0.064,1.2,0.6,0.2,0.4,0.0,0.083,4.1
turkey gravy dry,26,0.5,0.1,0.2,0.2,4.6,0.0,0.7,0.0,1.0,0.3,0.3
salsa sauce,5,0.039,0.07,0.048,0.089,1.2,0.7,0.3,0.3,0.0,0.1,16.1
steak sauce,16,0.004,0.0,0.0,0.0,3.7,1.7,0.2,0.3,0.0,0.3,12.1
molasses,58,0.068,0.052,0.021,0.068,14.9,14.9,0.0,0.0,0.0,0.007,4.4
italian dressing fat free,7,0.1,0.099,0.018,0.022,1.2,1.2,0.1,0.077,0.3,0.2,12.0
plum sauce,35,0.2,0.094,0.007,0.1,8.1,0.0,0.2,0.1,0.0,0.1,10.2
chow mein stir fry master foods,26,0.2,5.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beef gravy instant,25,0.6,0.3,0.2,0.08,4.1,1.6,0.7,0.3,0.7,0.3,0.3
horseradish,2,0.085,0.007,0.005,0.029,0.6,0.4,0.003,0.2,0.0,0.039,4.3
grenadine,54,0.0,0.0,0.0,0.0,13.4,9.3,0.0,0.0,0.0,0.038,6.5
tabasco sauce,1,0.002,0.051,0.086,0.089,0.006,0.067,0.045,0.013,0.0,0.075,4.5
sweet sour sauce,26,0.084,0.0,0.0,0.0,6.7,3.3,0.02,0.065,0.0,0.024,10.5
salsa verde,6,0.1,0.0,0.0,0.0,1.0,0.5,0.2,0.3,0.0,0.034,13.4
miso,40,1.2,0.2,0.2,0.6,5.1,1.2,2.6,1.1,0.0,0.7,8.6
sprouted soybean cooked,76,4.2,0.6,0.9,2.4,6.1,0.4,8.0,0.8,0.0,0.2,74.7
soy flour roasted,375,18.6,2.7,4.1,10.5,28.6,6.5,29.6,8.2,0.0,0.083,3.2
soy flour low fat,330,7.8,1.1,1.3,3.7,30.7,9.3,40.0,14.1,0.0,0.085,4.1
green soybean cooked,127,5.8,0.7,1.1,2.7,9.9,0.0,11.1,3.8,0.0,0.2,61.7
azumaya tofu vitasoy,316,16.6,2.0,4.7,9.9,9.1,1.6,32.8,2.4,0.0,0.03,331.8
soy proteins isolate,96,1.0,0.1,0.2,0.5,2.1,0.0,22.8,1.6,0.0,0.3,1.4
tofu yogurt,246,4.7,0.7,1.0,2.7,41.8,3.2,9.2,0.5,0.0,0.03,203.1
bacon meatless,446,42.5,6.7,10.2,22.2,9.1,0.0,15.4,3.7,0.0,2.1,70.5
meatless chicken fried,304,16.6,1.5,4.2,6.0,11.1,0.0,27.7,5.6,0.0,0.5,73.4
soymilk,109,4.8,0.5,1.0,2.9,8.4,6.1,7.1,1.0,0.0,0.1,221.1
soy vermicelli,463,0.1,0.092,0.005,0.093,115.2,24.4,0.1,5.5,0.0,0.032,16.7
tofu fried,35,2.6,0.4,0.6,1.5,1.2,0.4,2.4,0.5,0.0,0.021,6.6
tempeh,320,17.9,3.7,5.0,6.4,15.6,0.0,30.8,0.0,0.0,0.068,99.0
koyadofu,81,5.2,0.7,1.1,2.9,1.7,0.0,8.9,1.2,0.0,0.081,1.0
meatless meatloaf,110,5.0,0.8,1.2,2.6,4.5,0.7,11.8,2.6,0.0,0.3,32.5
soya vanille joghurt alpro,21,0.6,0.1,2.7,2.6,1.0,0.09,0.3,0.0,0.0,0.0,0.0
soybean curd cheese,340,18.2,2.6,4.0,10.3,15.5,3.6,28.1,0.0,0.0,0.094,159.5
soy sauce,8,0.054,0.025,0.059,0.099,0.8,0.097,1.3,0.1,0.0,0.9,11.4
soybean dry roasted,419,20.1,2.9,4.4,11.4,30.4,0.0,36.8,7.5,0.0,0.077,0.7
soybean oil,120,13.6,2.1,3.1,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
meatless chicken,376,21.4,3.1,4.6,12.2,6.1,0.0,39.7,6.0,0.0,1.2,98.9
soybean cooked,296,15.4,2.2,3.4,8.7,17.1,5.2,28.6,10.3,0.0,0.075,107.6
soymilk nonfat,68,0.046,0.0,0.0,0.046,10.1,8.9,6.0,0.5,0.0,0.1,225.2
soy flour,23,1.1,0.2,0.2,0.6,1.8,0.4,1.8,0.5,0.0,0.023,0.3
soybean lecithin oil,104,13.6,2.0,1.5,6.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tofu raw,188,11.9,1.7,2.6,6.7,4.7,0.0,20.0,0.7,0.0,0.06,209.7
soy chips,109,2.1,0.3,0.5,1.1,15.0,0.5,7.5,1.0,0.0,0.2,2.4
green soybean raw,376,17.4,2.0,3.3,8.2,28.3,0.0,33.2,10.8,0.0,0.017,172.8
soy proteins concentrate,93,0.1,0.04,0.092,0.099,7.2,0.0,18.0,1.6,0.0,0.3,1.6
soybean margarine,34,3.8,0.8,1.8,1.0,0.043,0.0,0.052,0.0,0.0,0.005,0.7
chocolate soymilk nonfat,107,0.046,0.0,0.0,0.012,20.7,8.9,6.0,0.5,0.0,0.1,214.8
okara,93,2.1,0.2,0.4,0.9,15.3,0.0,3.9,0.0,0.0,0.07,99.6
meatless meatballs,284,13.0,2.1,3.2,6.7,11.5,1.8,30.2,6.6,0.0,0.8,83.5
vanilla soymilk,131,4.3,0.5,1.0,2.3,15.3,9.7,7.9,1.5,0.0,0.1,214.0
soy meal raw,414,2.9,0.3,0.5,1.3,49.0,0.0,54.8,0.0,0.0,0.017,8.5
soymilk low fat,104,1.5,0.0,0.5,1.0,17.5,8.5,4.0,1.9,0.0,0.04,218.4
sprouted soybean raw,85,4.7,0.7,1.1,2.6,6.7,0.0,9.2,0.8,0.0,0.005,48.3
soybean raw,830,37.1,5.4,8.2,20.9,56.1,13.6,67.9,17.3,0.0,0.023,15.9
tempeh cooked,55,3.2,1.0,1.1,0.7,2.6,0.0,5.1,0.0,0.0,0.084,16.9
vanilla soymilk light,83,2.1,0.2,0.6,1.4,9.4,1.0,6.4,1.5,0.0,0.2,223.6
chocolate soymilk,153,3.7,0.6,0.9,2.0,24.2,19.1,5.5,1.0,0.0,0.1,208.0
soy oil,120,13.6,3.4,8.3,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
natto,169,8.8,1.3,1.9,5.0,11.5,3.9,14.2,4.3,0.0,0.026,44.0
chrysanthemum raw,12,0.3,0.0,0.0,0.0,1.5,0.0,1.7,1.5,0.0,0.012,46.6
gourd cooked,100,0.6,0.035,0.1,0.3,25.5,9.2,1.2,5.2,0.0,0.065,150.0
cauliflower raw,3,0.081,0.094,0.061,0.07,0.6,0.2,0.2,0.3,0.0,0.042,12.0
red cabbage raw,53,0.3,0.002,0.028,0.1,12.5,6.5,2.4,3.6,0.0,0.079,153.7
broccoli raab raw,9,0.2,0.047,0.027,0.097,1.1,0.2,1.3,1.1,0.0,0.04,37.0
napa cabbage cooked,13,0.2,0.0,0.0,0.0,2.4,0.0,1.2,0.0,0.0,0.012,105.0
kelp,2,0.067,0.037,0.064,0.044,0.5,0.069,0.07,0.018,0.0,0.019,4.1
shallots raw,18,0.061,0.041,0.015,0.074,4.2,2.0,0.6,0.8,0.0,0.044,20.0
bamboo shoots raw,49,0.5,0.1,0.054,0.2,9.4,5.4,4.7,4.0,0.0,0.067,163.8
jute cooked,32,0.2,0.004,0.022,0.022,6.3,0.9,3.2,1.7,0.0,0.043,75.8
red lettuce,4,0.08,0.036,0.056,0.024,0.6,0.1,0.4,0.3,0.0,0.057,26.8
broccoli cooked,98,1.1,0.2,0.1,0.5,20.1,3.9,6.7,9.2,0.0,0.1,249.9
romanesco raw,20,0.2,0.038,0.085,0.006,3.9,1.9,1.9,2.0,0.0,0.025,57.5
eggplant raw,115,0.8,0.2,0.047,0.3,26.9,16.2,4.5,13.7,0.0,0.028,422.7
leeks raw,54,0.3,0.049,0.076,0.1,12.6,3.5,1.3,1.6,0.0,0.003,73.9
lemongrass citronella,5,0.076,0.067,0.091,0.082,1.2,0.0,0.038,0.0,0.0,0.024,3.4
pumpkin cooked,49,0.2,0.019,0.1,0.085,12.0,5.1,1.8,2.7,0.0,0.006,229.5
celery cooked,7,0.098,0.064,0.018,0.024,1.5,0.9,0.3,0.6,0.0,0.093,35.3
serrano pepper,2,0.075,0.072,0.002,0.028,0.4,0.2,0.1,0.2,0.0,0.067,5.5
nopales raw,14,0.063,0.018,0.039,0.044,2.9,1.0,1.1,1.9,0.0,0.076,80.9
sweet potato leaves cooked,22,0.2,0.099,0.008,0.006,4.7,3.5,1.4,1.2,0.0,0.2,57.1
eggplant cooked,33,0.2,0.049,0.056,0.09,8.1,3.2,0.8,2.5,0.0,0.2,88.8
asparagus cooked,3,0.074,0.004,0.0,0.063,0.6,0.2,0.4,0.3,0.0,0.0,13.9
rutabaga cooked,72,0.4,0.007,0.037,0.2,16.4,9.5,2.2,4.3,0.0,0.049,219.7
parsnips raw,128,0.5,0.1,0.2,0.023,30.6,8.2,2.0,8.3,0.0,0.068,135.2
sour pickles,17,0.3,0.079,0.018,0.1,3.5,1.6,0.5,1.9,0.0,1.9,145.8
turnip greens cooked,29,0.3,0.091,0.065,0.1,6.3,0.8,1.6,5.0,0.0,0.4,134.2
jerusalem artichokes,110,0.047,0.0,0.065,0.036,26.2,14.4,3.0,2.4,0.0,0.011,117.0
collard raw,12,0.2,0.026,0.049,0.075,2.0,0.2,1.1,1.4,0.0,0.014,32.3
chrysanthemum cooked,20,0.036,0.0,0.0,0.0,4.3,2.0,1.6,2.3,0.0,0.042,92.5
oriental radish dried,314,0.8,0.3,0.1,0.4,73.5,43.3,9.2,27.7,0.0,0.3,22.8
tomatillos,42,1.3,0.2,0.2,0.6,7.7,5.2,1.3,2.5,0.0,0.019,121.0
taro shoots raw,9,0.069,0.016,0.071,0.042,2.0,0.0,0.8,0.0,0.0,0.056,82.4
acorn squash raw,172,0.4,0.091,0.086,0.2,44.9,0.0,3.4,6.5,0.0,0.017,378.3
leeks dried,10,0.026,0.08,0.055,0.031,2.4,0.0,0.5,0.3,0.0,0.077,0.018
cabbage raw,70,0.3,0.054,0.066,0.021,16.2,9.0,3.6,7.0,0.0,0.006,258.1
sweet red peppers cooked,19,0.1,0.012,0.094,0.087,4.5,3.2,0.7,0.9,0.0,0.2,67.1
sweet red peppers raw,46,0.4,0.088,0.016,0.1,9.0,6.3,1.5,3.1,0.0,0.092,137.4
cucumber peeled,16,0.2,0.1,0.068,0.087,2.9,1.8,0.8,0.9,0.0,0.098,128.7
purslane raw,9,0.2,0.0,0.0,0.0,1.5,0.0,0.9,0.0,0.0,0.066,39.9
peas onions cooked,81,0.4,0.055,0.049,0.2,15.5,6.8,4.6,4.0,0.0,0.5,158.7
tomato cooked,22,0.1,0.086,0.069,0.041,4.9,3.1,1.2,0.9,0.0,0.029,116.0
taro shoots cooked,20,0.1,0.068,0.003,0.037,4.5,0.0,1.0,0.0,0.0,0.3,133.4
scots kale raw,28,0.4,0.072,0.015,0.2,5.6,0.0,1.9,1.1,0.0,0.059,58.3
artichoke raw,60,0.2,0.056,0.019,0.01,13.5,1.3,4.2,6.9,0.0,0.1,108.7
navy bean sprouts raw,70,0.7,0.05,0.042,0.4,13.6,0.0,6.4,0.0,0.0,0.063,82.3
sweet pickles,146,0.7,0.1,0.021,0.2,33.8,29.2,0.9,1.6,0.0,0.7,121.9
oriental radish cooked,25,0.4,0.1,0.026,0.2,5.0,2.7,1.0,2.4,0.0,0.4,139.7
sweet potato leaves raw,15,0.2,0.088,0.045,0.049,3.1,0.0,0.9,1.9,0.0,0.073,30.4
irishmoss,2,0.049,0.06,0.096,0.091,0.6,0.098,0.037,0.082,0.0,0.084,4.1
drumstick leaves cooked,25,0.4,0.0,0.0,0.0,4.7,0.4,2.2,0.8,0.0,0.1,34.3
winter squash raw,39,0.2,0.019,0.089,0.086,10.0,2.6,1.1,1.7,0.0,0.027,104.1
pumpkin raw,30,0.1,0.065,0.044,0.004,7.5,3.2,1.2,0.6,0.0,0.062,106.3
chicory greens,7,0.096,0.078,0.06,0.018,1.4,0.2,0.5,1.2,0.0,0.017,26.7
spinach cooked,41,0.5,0.042,0.01,0.2,6.8,0.8,5.3,4.3,0.0,0.1,164.2
radish pickled,42,0.5,0.1,0.068,0.2,7.8,3.0,1.7,3.3,0.0,1.2,137.3
sweet onion,106,0.3,0.0,0.0,0.0,25.0,16.6,2.6,3.0,0.0,0.063,302.0
salsify cooked,92,0.2,0.0,0.0,0.0,20.7,3.9,3.7,4.2,0.0,0.028,109.4
radish seeds sprouted,16,1.0,0.3,0.2,0.4,1.4,0.0,1.4,0.0,0.0,0.067,34.2
turnips raw,51,0.2,0.074,0.098,0.04,11.8,7.0,1.6,3.3,0.0,0.1,168.1
burdock root raw,85,0.2,0.069,0.056,0.094,20.5,3.4,1.8,3.9,0.0,0.008,94.5
red cabbage cooked,49,0.2,0.058,0.001,0.095,11.8,5.6,2.6,4.4,0.0,0.047,154.4
jute raw,10,0.046,0.0,0.026,0.08,1.6,0.0,1.3,0.0,0.0,0.042,24.6
hot chile pepper dried,2,0.054,0.001,0.011,0.077,0.3,0.2,0.054,0.1,0.0,0.041,0.087
salsify raw,109,0.3,0.0,0.0,0.0,24.7,0.0,4.4,4.4,0.0,0.093,102.4
crookneck squash raw,24,0.3,0.1,0.057,0.1,4.9,4.5,1.3,1.3,0.0,0.047,119.7
indian squash cooked,38,0.4,0.0,0.0,0.0,7.6,4.7,0.7,3.5,0.0,0.0,226.1
poi,269,0.3,0.063,0.058,0.1,65.4,0.9,0.9,1.0,0.0,0.091,171.9
sesbania flower cooked,22,0.007,0.0,0.0,0.0,5.3,0.0,1.2,0.0,0.0,0.3,97.0
acorn squash cooked,115,0.3,0.023,0.072,0.1,29.9,0.0,2.3,9.0,0.0,0.5,169.9
cauliflower cooked,29,0.6,0.055,0.019,0.3,5.1,2.6,2.3,2.9,0.0,0.094,115.3
crookneck squash cooked,34,0.7,0.1,0.089,0.2,6.8,4.5,1.9,2.0,0.0,0.4,169.7
laver seaweed,1,0.012,0.066,0.045,0.052,0.1,0.071,0.2,0.09,0.0,0.075,2.2
mountain yam cooked,119,0.1,0.014,0.007,0.099,29.0,0.0,2.5,0.0,0.0,0.4,111.9
pumpkin flowers raw,5,0.084,0.049,0.099,0.05,1.1,0.0,0.3,0.0,0.0,0.066,31.4
mustard greens raw,15,0.2,0.072,0.071,0.035,2.6,0.7,1.6,1.8,0.0,0.004,50.8
arrowhead,12,0.084,0.0,0.0,0.0,2.4,0.0,0.6,0.0,0.0,0.082,8.7
japanese cabbage,45,0.2,0.092,0.081,0.092,8.5,2.0,2.4,4.7,0.0,0.4,137.1
mung bean sprouts cooked,24,0.1,0.05,0.007,0.062,4.5,3.5,2.5,1.0,0.0,0.3,115.8
scallop squash cooked,29,0.3,0.034,0.081,0.1,5.9,2.7,1.9,3.4,0.0,0.4,171.0
pumpkin leaves cooked,15,0.2,0.092,0.017,0.093,2.4,0.5,1.9,1.9,0.0,0.2,65.7
hungarian pepper,8,0.1,0.082,0.086,0.099,1.8,1.0,0.2,0.3,0.0,0.028,24.7
sweet potato baked,103,0.2,0.013,0.072,0.1,23.6,7.4,2.3,3.8,0.0,0.07,86.4
chinese cabbage pe tsai raw,12,0.2,0.033,0.087,0.004,2.5,1.1,0.9,0.9,0.0,0.049,71.7
taro raw,116,0.2,0.099,0.062,0.01,27.5,0.4,1.6,4.3,0.0,0.054,73.5
yam bean jicama,49,0.1,0.061,0.088,0.093,11.5,2.3,0.9,6.4,0.0,0.047,117.1
olives,10,0.9,0.2,0.6,0.043,0.5,0.0,0.09,0.1,0.0,0.001,6.7
mustard greens cooked,36,0.7,0.053,0.2,0.008,6.3,2.0,3.6,2.8,0.0,0.4,128.5
pumpkin flowers cooked,20,0.1,0.057,0.007,0.084,4.4,3.2,1.5,1.2,0.0,0.082,127.6
tree fern cooked,57,0.096,0.0,0.0,0.0,15.3,0.0,0.4,5.3,0.0,0.3,125.8
yellow corn raw,606,7.9,1.1,2.1,3.6,123.3,1.1,15.6,12.1,0.0,0.06,17.2
endive,9,0.1,0.022,0.044,0.072,1.7,0.1,0.6,1.6,0.0,0.08,46.9
wakame,36,0.5,0.1,0.002,0.2,7.3,0.5,2.4,0.4,0.0,0.7,64.0
tahitian taro raw,55,1.2,0.2,0.022,0.5,8.6,0.0,3.5,0.0,0.0,0.003,110.0
broccoli raw,31,0.3,0.053,0.028,0.015,6.0,1.5,2.6,2.4,0.0,0.049,81.3
sweet green peppers raw,30,0.3,0.053,0.043,0.037,6.9,3.6,1.3,2.5,0.0,0.023,139.9
chinese cabbage pak choi cooked,20,0.3,0.014,0.046,0.1,3.0,1.4,2.7,1.7,0.0,0.5,162.4
agar,1,0.058,0.087,0.01,0.028,0.3,0.005,0.053,0.027,0.0,0.049,4.6
watercress,4,0.006,0.071,0.027,0.0,0.4,0.099,0.8,0.2,0.0,0.038,32.3
beet greens cooked,39,0.3,0.025,0.067,0.1,7.9,0.9,3.7,4.2,0.0,0.3,128.3
winter squash cooked,76,0.7,0.1,0.083,0.3,18.1,6.8,1.8,5.7,0.0,0.068,182.9
new zealand spinach raw,8,0.1,0.077,0.078,0.043,1.4,0.2,0.8,0.8,0.0,0.017,52.6
okra,4,0.082,0.001,0.019,0.053,0.9,0.2,0.2,0.4,0.0,0.098,10.7
yautia tannier,132,0.5,0.1,0.0,0.0,31.9,0.0,2.0,2.0,0.0,0.031,98.6
mustard spinach cooked,29,0.4,0.0,0.0,0.0,5.0,0.0,3.1,3.6,0.0,0.5,170.1
rhubarb cooked,278,0.1,0.08,0.009,0.067,74.9,68.9,0.9,4.8,0.0,0.007,162.7
beets raw,58,0.2,0.028,0.032,0.067,13.0,9.2,2.2,3.8,0.0,0.1,119.1
drumstick pods raw,37,0.2,0.025,0.1,0.037,8.5,0.0,2.1,3.2,0.0,0.077,88.2
baby zucchini,2,0.089,0.02,0.047,0.006,0.3,0.0,0.3,0.1,0.0,0.041,10.2
onion raw,16,0.048,0.077,0.091,0.007,3.7,1.7,0.4,0.7,0.0,0.065,35.6
romanesco cooked,39,0.4,0.028,0.077,0.2,7.7,0.0,3.7,4.0,0.0,0.3,109.2
butternut squash raw,90,0.2,0.044,0.046,0.019,23.4,4.4,2.0,4.0,0.0,0.067,172.8
amaranth leaves,6,0.075,0.072,0.033,0.025,1.1,0.0,0.7,0.0,0.0,0.071,25.7
turnip greens raw,18,0.2,0.009,0.04,0.066,3.9,0.4,0.8,1.8,0.0,0.012,49.3
spaghetti squash raw,31,0.6,0.1,0.026,0.2,7.0,2.8,0.6,1.5,0.0,0.081,92.5
seaweed dry,52,0.3,0.006,0.076,0.2,9.2,0.0,3.1,7.3,6.6,0.9,2.8
yam cooked,158,0.2,0.061,0.018,0.059,37.4,0.7,2.0,5.3,0.0,0.017,95.4
corn dried,119,3.0,0.6,1.1,1.3,18.8,6.0,4.1,5.8,0.0,0.029,1.8
cucumber,23,0.2,0.068,0.044,0.041,5.4,2.5,1.0,0.8,0.0,0.061,142.8
arrowroot,78,0.2,0.094,0.083,0.1,16.1,0.0,5.1,1.6,0.0,0.052,96.9
cardoon raw,30,0.2,0.072,0.05,0.054,7.2,0.0,1.2,2.8,0.0,0.3,167.3
bamboo shoots cooked,14,0.3,0.007,0.059,0.1,2.3,0.0,1.8,1.2,0.0,0.04,115.1
summer squash raw,42,0.5,0.1,0.048,0.2,8.7,5.7,3.1,2.9,0.0,0.051,246.1
sweet potato raw,112,0.002,0.036,0.008,0.015,26.2,5.4,2.0,3.9,0.0,0.079,100.5
green tomato,42,0.4,0.024,0.018,0.1,9.3,7.3,2.2,2.0,0.0,0.055,169.3
beet greens raw,8,0.078,0.026,0.037,0.015,1.6,0.2,0.8,1.4,0.0,0.013,34.6
savoy cabbage cooked,41,0.2,0.076,0.023,0.003,9.2,0.0,3.1,4.8,0.0,0.05,156.4
witloof chicory,9,0.031,0.076,0.077,0.027,2.1,0.0,0.5,1.6,0.0,0.022,50.1
turnips cooked,34,0.1,0.082,0.089,0.076,7.9,4.7,1.1,3.1,0.0,0.017,146.0
dried tomatoes,5,0.053,0.032,0.032,0.086,1.1,0.8,0.3,0.2,0.0,0.069,0.3
radicchio,15,0.2,0.031,0.048,0.024,2.9,0.4,0.9,0.6,0.0,0.033,60.5
mixed vegetables cooked,118,0.3,0.0,0.09,0.1,23.8,5.7,5.2,8.0,0.0,0.089,151.5
yellow tomato,32,0.6,0.03,0.003,0.2,6.3,0.0,2.1,1.5,0.0,0.088,202.0
cardoon cooked,26,0.1,0.014,0.058,0.092,6.4,0.0,0.9,2.0,0.0,0.2,112.2
spinach raw,7,0.1,0.024,0.049,0.087,1.1,0.1,0.9,0.7,0.0,0.036,27.4
kale raw,7,0.3,0.057,0.014,0.1,0.9,0.2,0.6,0.9,0.0,0.045,18.8
drumstick pods cooked,42,0.2,0.0,0.0,0.0,9.7,0.0,2.5,5.0,0.0,0.3,104.3
kohlrabi raw,72,0.3,0.007,0.072,0.1,16.4,6.9,4.5,9.5,0.0,0.063,241.2
lentil sprouts,82,0.4,0.067,0.053,0.2,17.0,0.0,6.9,0.0,0.0,0.044,51.9
